date,1. open,2. high,3. low,4. close
2025-09-01,0.8651,0.867,0.8633,0.8643
2025-08-29,0.8644,0.8674,0.8629,0.8651
2025-08-28,0.8621,0.8648,0.8612,0.8644
2025-08-27,0.8636,0.8641,0.8606,0.8621
2025-08-26,0.8633,0.865,0.8619,0.8635
2025-08-25,0.8658,0.8673,0.8625,0.8633
2025-08-22,0.8652,0.8671,0.8619,0.8658
2025-08-21,0.8653,0.8665,0.8637,0.8651
2025-08-20,0.8632,0.8667,0.8606,0.8657
2025-08-19,0.8634,0.8647,0.8622,0.8633
2025-08-18,0.8625,0.8642,0.8615,0.8633
2025-08-15,0.8604,0.8637,0.8602,0.863
2025-08-14,0.8622,0.863,0.8588,0.8604
2025-08-13,0.8645,0.8653,0.8615,0.8621
2025-08-12,0.8645,0.8654,0.8612,0.8644
2025-08-11,0.8651,0.8672,0.8639,0.8646
2025-08-08,0.8675,0.8681,0.8648,0.8652
2025-08-07,0.8727,0.8743,0.8659,0.8677
2025-08-06,0.8699,0.8732,0.8692,0.8727
2025-08-05,0.8708,0.8713,0.8675,0.8701
2025-08-04,0.8717,0.873,0.868,0.8708
2025-08-01,0.8641,0.8729,0.8635,0.8722
2025-07-31,0.8616,0.8658,0.8605,0.8642
2025-07-30,0.8644,0.8659,0.8608,0.8613
2025-07-29,0.8672,0.8685,0.8638,0.8645
2025-07-28,0.8738,0.8763,0.8662,0.8674
2025-07-25,0.8694,0.8743,0.8682,0.8733
2025-07-24,0.8668,0.871,0.8662,0.8694
2025-07-23,0.8682,0.8691,0.8642,0.8665
2025-07-22,0.8669,0.8694,0.8657,0.8683
2025-07-21,0.8666,0.8675,0.8643,0.8666
2025-07-18,0.8642,0.8672,0.8633,0.8667
2025-07-17,0.8669,0.8679,0.8632,0.8642
2025-07-16,0.8664,0.87,0.8644,0.8667
2025-07-15,0.8685,0.8696,0.8655,0.8664
2025-07-14,0.8633,0.8696,0.8619,0.8685
2025-07-11,0.8616,0.8669,0.8605,0.8657
2025-07-10,0.8623,0.8635,0.8606,0.8616
2025-07-09,0.8624,0.8632,0.8601,0.8623
2025-07-08,0.8608,0.8643,0.8599,0.8624
2025-07-07,0.862,0.8643,0.8593,0.8608
2025-07-04,0.8607,0.8637,0.8604,0.8625
2025-07-03,0.865,0.8654,0.8591,0.8606
2025-07-02,0.8587,0.867,0.8574,0.865
2025-07-01,0.858,0.86,0.8554,0.8587
2025-06-30,0.8531,0.8587,0.8531,0.858
2025-06-27,0.8518,0.8553,0.8504,0.8543
2025-06-26,0.853,0.854,0.8514,0.852
2025-06-25,0.8526,0.8537,0.8509,0.8531
2025-06-24,0.8557,0.857,0.8516,0.8523
2025-06-23,0.8534,0.8575,0.8532,0.8558
2025-06-20,0.8534,0.8569,0.8523,0.8566
2025-06-19,0.8548,0.8559,0.8524,0.8534
2025-06-18,0.8546,0.8564,0.8538,0.855
2025-06-17,0.8511,0.8555,0.8507,0.8546
2025-06-16,0.8497,0.8532,0.8492,0.8513
2025-06-13,0.8506,0.8531,0.849,0.8515
2025-06-12,0.8474,0.8546,0.847,0.8506
2025-06-11,0.846,0.8489,0.8447,0.8479
2025-06-10,0.8426,0.8468,0.8412,0.846
2025-06-09,0.842,0.8428,0.8411,0.8426
2025-06-06,0.8431,0.8442,0.8413,0.8422
2025-06-05,0.8424,0.84475,0.84105,0.84292
2025-06-04,0.8411,0.8431,0.84067,0.84248
2025-06-03,0.84463,0.845,0.84079,0.84111
2025-06-02,0.84337,0.845,0.84231,0.84433
2025-05-30,0.84242,0.84369,0.84025,0.84334
2025-05-29,0.83818,0.84325,0.83551,0.84242
2025-05-28,0.83841,0.8402,0.83792,0.83819
2025-05-27,0.83926,0.8398,0.83727,0.83855
2025-05-26,0.84022,0.8409,0.83875,0.8392
2025-05-23,0.84022,0.84186,0.83798,0.83929
2025-05-22,0.84426,0.84491,0.8397,0.8404
2025-05-21,0.84276,0.84591,0.84223,0.84405
2025-05-20,0.84146,0.84337,0.84048,0.84278
2025-05-19,0.84136,0.84268,0.84022,0.84147
2025-05-16,0.84078,0.84323,0.83933,0.84074
2025-05-15,0.8426,0.8441,0.84025,0.84078
2025-05-14,0.84055,0.8436,0.84017,0.84227
2025-05-13,0.84176,0.8427,0.84004,0.84054
2025-05-12,0.84473,0.8458,0.84049,0.8416
2025-05-09,0.84678,0.84921,0.84518,0.84562
2025-05-08,0.85087,0.85223,0.84582,0.84686
2025-05-07,0.84981,0.85221,0.84791,0.85064
2025-05-06,0.85115,0.85201,0.84616,0.8498
2025-05-05,0.85161,0.8533,0.85042,0.8511
2025-05-02,0.84993,0.85406,0.849,0.85148
2025-05-01,0.8499,0.85103,0.84795,0.84994
2025-04-30,0.84908,0.85382,0.84817,0.84988
2025-04-29,0.85006,0.85117,0.84862,0.849
2025-04-28,0.8533,0.85446,0.84921,0.85
2025-04-25,0.85363,0.85474,0.85107,0.85353
2025-04-24,0.85366,0.85652,0.853,0.85348
2025-04-23,0.85482,0.85831,0.85271,0.85366
2025-04-22,0.86005,0.86111,0.85359,0.85472
2025-04-21,0.85822,0.86238,0.85715,0.86001
2025-04-18,0.85671,0.85825,0.85546,0.85681
2025-04-17,0.86044,0.86165,0.85555,0.85667
2025-04-16,0.85288,0.8615,0.85239,0.86044
2025-04-15,0.86059,0.86135,0.85242,0.85287
