date,1. open,2. high,3. low,4. close
2025-09-01,171.82,172.52,171.73,172.32
2025-08-29,171.64,172.01,171.19,171.78
2025-08-28,171.52,171.8,171.07,171.64
2025-08-27,171.6,171.9,171.19,171.52
2025-08-26,171.68,172.12,171.27,171.59
2025-08-25,172.13,172.65,171.51,171.68
2025-08-22,172.17,173.08,171.76,172.13
2025-08-21,171.66,172.36,171.48,172.17
2025-08-20,171.98,172.04,171.06,171.64
2025-08-19,172.39,172.7,171.66,171.99
2025-08-18,172.07,172.68,171.88,172.4
2025-08-15,172.1,172.38,171.46,172.16
2025-08-14,172.51,172.59,170.86,172.08
2025-08-13,172.58,173.02,172.2,172.49
2025-08-12,172.05,172.99,171.94,172.56
2025-08-11,171.9,172.19,171.51,172.05
2025-08-08,171.59,172.33,171.3,171.93
2025-08-07,171.81,172.14,171.22,171.59
2025-08-06,170.79,171.97,170.57,171.8
2025-08-05,170.17,170.94,169.76,170.83
2025-08-04,170.6,171.15,169.88,170.17
2025-08-01,172.06,172.38,170.2,170.7
2025-07-31,170.47,172.33,169.66,172.07
2025-07-30,171.39,171.54,170.41,170.47
2025-07-29,172.12,172.32,171.0,171.37
2025-07-28,173.39,173.88,172.02,172.12
2025-07-25,172.67,173.61,172.43,173.35
2025-07-24,172.38,172.92,171.7,172.67
2025-07-23,172.33,172.73,171.33,172.42
2025-07-22,172.36,172.92,171.33,172.32
2025-07-21,172.13,172.83,171.83,172.36
2025-07-18,172.3,173.09,172.2,172.99
2025-07-17,172.11,172.66,171.89,172.3
2025-07-16,172.66,173.23,171.72,172.02
2025-07-15,172.27,173.08,172.21,172.66
2025-07-14,171.81,172.47,171.49,172.26
2025-07-11,171.11,172.41,170.77,172.3
2025-07-10,171.48,171.77,170.9,171.11
2025-07-09,171.82,172.27,171.23,171.48
2025-07-08,170.95,172.01,170.9,171.83
2025-07-07,170.14,171.31,169.84,170.99
2025-07-04,170.37,170.43,169.81,170.25
2025-07-03,169.5,170.63,168.7,170.35
2025-07-02,169.32,169.78,168.98,169.5
2025-07-01,169.73,169.75,168.41,169.32
2025-06-30,169.27,169.86,168.66,169.73
2025-06-27,168.84,169.8,168.58,169.52
2025-06-26,169.33,169.39,168.51,168.9
2025-06-25,168.21,169.38,168.07,169.35
2025-06-24,169.16,169.27,167.86,168.21
2025-06-23,168.13,169.71,167.38,169.17
2025-06-20,167.18,168.39,167.0,168.3
2025-06-19,166.58,167.32,166.01,167.18
2025-06-18,166.73,167.05,166.27,166.56
2025-06-17,167.31,167.6,166.66,166.73
2025-06-16,166.21,167.45,165.82,167.31
2025-06-13,166.15,166.59,164.9,166.45
2025-06-12,166.03,166.74,165.43,166.18
2025-06-11,165.44,166.51,165.33,166.03
2025-06-10,165.11,165.63,164.58,165.44
2025-06-09,164.99,165.21,164.51,165.11
2025-06-06,164.23,165.28,164.06,165.04
2025-06-05,162.976,164.672,162.895,164.227
2025-06-04,163.762,164.24,162.844,162.978
2025-06-03,163.212,163.871,162.793,163.764
2025-06-02,163.187,163.428,162.834,163.209
2025-05-30,163.838,163.928,162.799,163.471
2025-05-29,163.486,164.258,163.342,163.865
2025-05-28,163.469,163.907,163.069,163.482
2025-05-27,162.524,163.942,162.085,163.469
2025-05-26,161.962,162.976,161.929,162.522
2025-05-23,162.448,162.748,161.078,162.011
2025-05-22,162.726,163.412,161.799,162.478
2025-05-21,162.975,163.302,162.56,162.724
2025-05-20,162.839,163.28,162.413,162.968
2025-05-19,162.482,163.388,162.14,162.864
2025-05-16,162.9,163.106,162.452,162.609
2025-05-15,163.856,164.064,162.741,162.863
2025-05-14,164.94,165.162,163.718,163.846
2025-05-13,164.522,165.209,164.127,164.948
2025-05-12,163.836,164.92,163.66,164.522
2025-05-09,163.8,163.94,163.147,163.522
2025-05-08,162.629,163.902,162.463,163.804
2025-05-07,161.932,163.015,161.912,162.603
2025-05-06,162.618,162.95,161.592,161.928
2025-05-05,163.696,163.891,162.518,162.622
2025-05-02,164.013,164.634,163.452,163.782
2025-05-01,161.887,164.456,161.792,164.013
2025-04-30,161.908,162.707,161.703,161.944
2025-04-29,162.236,162.557,161.708,161.902
2025-04-28,163.144,163.354,162.054,162.234
2025-04-25,162.446,163.756,162.123,163.286
2025-04-24,162.032,162.559,161.838,162.45
2025-04-23,161.966,162.463,161.147,162.035
2025-04-22,162.052,162.317,160.981,161.98
2025-04-21,161.918,162.67,161.638,162.0
2025-04-18,161.884,162.18,161.649,161.991
2025-04-17,161.523,162.634,161.24,161.873
2025-04-16,161.467,162.345,161.279,161.516
2025-04-15,162.32,162.799,161.29,161.466
