date,1. open,2. high,3. low,4. close
2025-09-01,0.5881,0.5914,0.5881,0.5902
2025-08-29,0.5882,0.5905,0.5878,0.5882
2025-08-28,0.5845,0.5891,0.5845,0.5884
2025-08-27,0.5852,0.5864,0.5816,0.5858
2025-08-26,0.5845,0.5868,0.5827,0.5859
2025-08-25,0.5862,0.588,0.5844,0.5846
2025-08-22,0.582,0.5876,0.5798,0.5867
2025-08-21,0.5822,0.5832,0.5809,0.5816
2025-08-20,0.59,0.5903,0.5813,0.5822
2025-08-19,0.5923,0.593,0.5889,0.5892
2025-08-18,0.5918,0.5942,0.5908,0.5922
2025-08-15,0.5926,0.5938,0.5906,0.5919
2025-08-14,0.5976,0.5991,0.5906,0.5916
2025-08-13,0.5958,0.5995,0.5943,0.5974
2025-08-12,0.5936,0.5965,0.5911,0.5955
2025-08-11,0.5939,0.5961,0.5923,0.5937
2025-08-08,0.5948,0.5971,0.594,0.5957
2025-08-07,0.5931,0.5967,0.5921,0.5959
2025-08-06,0.5903,0.5941,0.5889,0.5928
2025-08-05,0.5913,0.5922,0.5879,0.5901
2025-08-04,0.5905,0.593,0.5897,0.5907
2025-08-01,0.5888,0.5929,0.5855,0.5916
2025-07-31,0.5892,0.5936,0.5886,0.5891
2025-07-30,0.5954,0.5971,0.5887,0.5892
2025-07-29,0.5974,0.5977,0.5941,0.5955
2025-07-28,0.6008,0.6032,0.5964,0.5969
2025-07-25,0.6027,0.6039,0.5996,0.6014
2025-07-24,0.6045,0.6059,0.6025,0.6027
2025-07-23,0.599,0.6047,0.5993,0.6045
2025-07-22,0.5974,0.6004,0.5938,0.6
2025-07-21,0.596,0.5984,0.5937,0.5968
2025-07-18,0.5932,0.5991,0.5922,0.5962
2025-07-17,0.5945,0.5953,0.5903,0.5931
2025-07-16,0.5948,0.5969,0.591,0.5946
2025-07-15,0.5974,0.6006,0.5937,0.5945
2025-07-14,0.6001,0.6014,0.5967,0.5972
2025-07-11,0.6034,0.6043,0.5999,0.6009
2025-07-10,0.6,0.6036,0.5994,0.6035
2025-07-09,0.5996,0.6014,0.5973,0.5999
2025-07-08,0.5994,0.6034,0.5978,0.5998
2025-07-07,0.606,0.6063,0.5986,0.5994
2025-07-04,0.6065,0.6082,0.6048,0.6061
2025-07-03,0.6081,0.6092,0.6027,0.607
2025-07-02,0.609,0.6106,0.6048,0.6089
2025-07-01,0.6084,0.612,0.6073,0.6097
2025-06-30,0.6025,0.6098,0.6025,0.6095
2025-06-27,0.6049,0.6078,0.6035,0.6056
2025-06-26,0.6034,0.6074,0.6028,0.6057
2025-06-25,0.6004,0.6042,0.6002,0.6038
2025-06-24,0.5976,0.604,0.5964,0.6006
2025-06-23,0.5951,0.598,0.5881,0.5976
2025-06-20,0.5985,0.6009,0.5958,0.596
2025-06-19,0.6016,0.6032,0.5957,0.5991
2025-06-18,0.6011,0.6057,0.6007,0.6027
2025-06-17,0.6059,0.6079,0.6008,0.6013
2025-06-16,0.6008,0.6087,0.5998,0.6061
2025-06-13,0.6069,0.6069,0.5993,0.6008
2025-06-12,0.6029,0.6071,0.6004,0.6069
2025-06-11,0.605,0.6065,0.6021,0.6027
2025-06-10,0.6047,0.6058,0.6025,0.6052
2025-06-09,0.6001,0.6065,0.6001,0.6044
2025-06-06,0.6033,0.605,0.6005,0.6014
2025-06-05,0.60247,0.608,0.60224,0.60318
2025-06-04,0.59959,0.60391,0.59914,0.60224
2025-06-03,0.6032,0.60543,0.59859,0.5996
2025-06-02,0.59693,0.6044,0.59645,0.60313
2025-05-30,0.59681,0.59895,0.59468,0.5958
2025-05-29,0.59652,0.5992,0.59247,0.59687
2025-05-28,0.59463,0.59793,0.59233,0.59653
2025-05-27,0.59926,0.60063,0.59359,0.59466
2025-05-26,0.59822,0.60314,0.59822,0.59928
2025-05-23,0.58946,0.59894,0.58917,0.59842
2025-05-22,0.59343,0.59413,0.58903,0.58943
2025-05-21,0.59206,0.5968,0.59185,0.59343
2025-05-20,0.59253,0.5932,0.58937,0.592
2025-05-19,0.58754,0.59322,0.5874,0.59255
2025-05-16,0.58724,0.5918,0.58647,0.5881
2025-05-15,0.58973,0.59157,0.58601,0.5872
2025-05-14,0.59333,0.59688,0.58856,0.58971
2025-05-13,0.58552,0.5942,0.58464,0.59337
2025-05-12,0.59177,0.59403,0.58462,0.5856
2025-05-09,0.59016,0.59204,0.58702,0.5906
2025-05-08,0.59402,0.59742,0.58968,0.59003
2025-05-07,0.60052,0.60226,0.59338,0.59386
2025-05-06,0.59634,0.6013,0.59434,0.60052
2025-05-05,0.59418,0.59955,0.59404,0.5964
2025-05-02,0.59066,0.59773,0.59029,0.59433
2025-05-01,0.59334,0.5951,0.58933,0.59045
2025-04-30,0.59295,0.59495,0.58979,0.59336
2025-04-29,0.5976,0.59864,0.59252,0.59285
2025-04-28,0.59592,0.59821,0.59279,0.59761
2025-04-25,0.59898,0.6001,0.59479,0.5959
2025-04-24,0.59449,0.60002,0.5941,0.59899
2025-04-23,0.59592,0.60134,0.59362,0.59448
2025-04-22,0.59927,0.60289,0.5956,0.59595
2025-04-21,0.59286,0.6019,0.59286,0.59922
2025-04-18,0.59636,0.59738,0.59232,0.59378
2025-04-17,0.59321,0.5978,0.58994,0.59621
2025-04-16,0.58901,0.5937,0.58856,0.59318
2025-04-15,0.58689,0.5944,0.58607,0.58899
