date,1. open,2. high,3. low,4. close
2025-09-01,1.3737,1.3762,1.373,1.375
2025-08-29,1.3747,1.3779,1.3724,1.3744
2025-08-28,1.3787,1.3791,1.3738,1.3748
2025-08-27,1.3836,1.3857,1.378,1.3789
2025-08-26,1.3857,1.3868,1.382,1.3838
2025-08-25,1.3823,1.3863,1.3814,1.3859
2025-08-22,1.3907,1.3924,1.3812,1.3826
2025-08-21,1.3872,1.3912,1.3867,1.391
2025-08-20,1.3867,1.3883,1.3851,1.3873
2025-08-19,1.3803,1.3869,1.3793,1.3864
2025-08-18,1.3814,1.3831,1.378,1.3802
2025-08-15,1.3815,1.3819,1.3785,1.3819
2025-08-14,1.3756,1.3819,1.3742,1.3816
2025-08-13,1.3769,1.3782,1.3749,1.3759
2025-08-12,1.3777,1.3806,1.3751,1.3772
2025-08-11,1.3749,1.3795,1.3742,1.3778
2025-08-08,1.3746,1.3763,1.3723,1.3757
2025-08-07,1.3737,1.3773,1.3719,1.3743
2025-08-06,1.3772,1.3779,1.3733,1.374
2025-08-05,1.3774,1.381,1.3761,1.3772
2025-08-04,1.3789,1.3795,1.3756,1.3777
2025-08-01,1.3852,1.3879,1.3761,1.3785
2025-07-31,1.3826,1.3858,1.3811,1.3852
2025-07-30,1.3769,1.3844,1.3757,1.3828
2025-07-29,1.3735,1.3788,1.3729,1.377
2025-07-28,1.3695,1.3742,1.3687,1.3735
2025-07-25,1.3639,1.3725,1.3634,1.3699
2025-07-24,1.359,1.3655,1.3589,1.3637
2025-07-23,1.3601,1.3629,1.3573,1.3594
2025-07-22,1.3685,1.3695,1.36,1.3602
2025-07-21,1.3717,1.3734,1.3674,1.3679
2025-07-18,1.3749,1.3753,1.3692,1.3721
2025-07-17,1.3683,1.3774,1.3681,1.3749
2025-07-16,1.3722,1.3755,1.3677,1.3682
2025-07-15,1.3697,1.3729,1.3668,1.3722
2025-07-14,1.369,1.3716,1.3667,1.3703
2025-07-11,1.3653,1.3731,1.3649,1.3688
2025-07-10,1.3684,1.3708,1.3651,1.3654
2025-07-09,1.3663,1.371,1.3658,1.3685
2025-07-08,1.3678,1.3694,1.3635,1.3659
2025-07-07,1.3604,1.3685,1.3593,1.3682
2025-07-04,1.3576,1.3617,1.3564,1.3603
2025-07-03,1.3588,1.3623,1.3554,1.3581
2025-07-02,1.3643,1.3658,1.3581,1.3585
2025-07-01,1.3607,1.3667,1.3588,1.3642
2025-06-30,1.3676,1.3699,1.3597,1.3607
2025-06-27,1.364,1.3758,1.3625,1.3681
2025-06-26,1.3721,1.3728,1.3615,1.364
2025-06-25,1.3725,1.3754,1.3709,1.3725
2025-06-24,1.3733,1.3738,1.3676,1.3725
2025-06-23,1.3731,1.3798,1.3722,1.3731
2025-06-20,1.3698,1.3747,1.3685,1.3733
2025-06-19,1.3691,1.3746,1.3683,1.3699
2025-06-18,1.3675,1.3703,1.3632,1.3695
2025-06-17,1.3567,1.3693,1.3554,1.368
2025-06-16,1.3596,1.3607,1.3537,1.357
2025-06-13,1.3605,1.3651,1.3564,1.3584
2025-06-12,1.3669,1.3675,1.3597,1.3602
2025-06-11,1.3667,1.369,1.3647,1.3672
2025-06-10,1.3696,1.3728,1.3666,1.3669
2025-06-09,1.3689,1.3707,1.3667,1.3697
2025-06-06,1.3675,1.3704,1.3658,1.369
2025-06-05,1.36717,1.36839,1.363,1.36731
2025-06-04,1.37203,1.37316,1.3648,1.36711
2025-06-03,1.37111,1.3743,1.3696,1.3718
2025-06-02,1.37364,1.3739,1.367,1.3711
2025-05-30,1.38067,1.38299,1.371,1.374
2025-05-29,1.38321,1.38616,1.378,1.3807
2025-05-28,1.38068,1.38444,1.3797,1.38321
2025-05-27,1.37314,1.38361,1.37215,1.38076
2025-05-26,1.37222,1.3739,1.3682,1.37315
2025-05-23,1.38613,1.38613,1.3705,1.3737
2025-05-22,1.38589,1.3889,1.3841,1.38579
2025-05-21,1.39146,1.39158,1.381,1.3856
2025-05-20,1.39426,1.39683,1.3904,1.39148
2025-05-19,1.3968,1.39728,1.3913,1.3937
2025-05-16,1.39566,1.39955,1.393,1.3965
2025-05-15,1.39705,1.40046,1.395,1.3959
2025-05-14,1.39347,1.3986,1.3898,1.39701
2025-05-13,1.3976,1.40161,1.3927,1.39358
2025-05-12,1.39176,1.40156,1.39068,1.39764
2025-05-09,1.39208,1.39445,1.3902,1.3937
2025-05-08,1.38377,1.39329,1.3809,1.3921
2025-05-07,1.3765,1.38395,1.3759,1.3838
2025-05-06,1.38202,1.38451,1.3746,1.3767
2025-05-05,1.38094,1.383,1.3782,1.38205
2025-05-02,1.38509,1.3855,1.3755,1.38139
2025-05-01,1.37916,1.38621,1.378,1.385
2025-04-30,1.38255,1.38554,1.3765,1.3792
2025-04-29,1.38312,1.38713,1.3804,1.38255
2025-04-28,1.3858,1.38926,1.3813,1.38307
2025-04-25,1.38469,1.38923,1.3841,1.3853
2025-04-24,1.38817,1.3899,1.3836,1.3845
2025-04-23,1.38318,1.39046,1.3793,1.3883
2025-04-22,1.38401,1.38615,1.3789,1.38276
2025-04-21,1.38403,1.38499,1.3776,1.38382
2025-04-18,1.384,1.38695,1.3828,1.3846
2025-04-17,1.38629,1.3906,1.3824,1.384
2025-04-16,1.39605,1.3965,1.385,1.3858
2025-04-15,1.38811,1.39777,1.3846,1.3959
