date,1. open,2. high,3. low,4. close
2025-09-01,0.7985,0.8017,0.7982,0.8007
2025-08-29,0.8016,0.8035,0.7983,0.8002
2025-08-28,0.8019,0.803,0.7991,0.8012
2025-08-27,0.8032,0.8076,0.8013,0.802
2025-08-26,0.8052,0.8072,0.8023,0.803
2025-08-25,0.7997,0.8071,0.7997,0.8058
2025-08-22,0.8089,0.8103,0.7998,0.8013
2025-08-21,0.8037,0.809,0.8032,0.8085
2025-08-20,0.807,0.8092,0.8029,0.8038
2025-08-19,0.8077,0.8085,0.8044,0.8074
2025-08-18,0.8046,0.808,0.8046,0.8073
2025-08-15,0.8073,0.8082,0.8043,0.8063
2025-08-14,0.8051,0.8092,0.8042,0.8074
2025-08-13,0.8069,0.8071,0.8019,0.805
2025-08-12,0.8121,0.8127,0.806,0.8062
2025-08-11,0.8072,0.8131,0.8059,0.8124
2025-08-08,0.8063,0.8088,0.8053,0.808
2025-08-07,0.8063,0.8089,0.804,0.8064
2025-08-06,0.8076,0.8093,0.8047,0.8065
2025-08-05,0.8079,0.8117,0.8062,0.8077
2025-08-04,0.8028,0.8096,0.8023,0.8082
2025-08-01,0.8121,0.8171,0.8023,0.8038
2025-07-31,0.8146,0.8152,0.8109,0.8122
2025-07-30,0.8057,0.815,0.8035,0.8146
2025-07-29,0.8035,0.8079,0.8022,0.8057
2025-07-28,0.7952,0.8037,0.7942,0.8035
2025-07-25,0.7957,0.7979,0.7942,0.7948
2025-07-24,0.7925,0.796,0.7913,0.7952
2025-07-23,0.7925,0.7949,0.7908,0.7921
2025-07-22,0.7978,0.7991,0.7917,0.7921
2025-07-21,0.7996,0.8022,0.7963,0.7979
2025-07-18,0.8044,0.8048,0.7982,0.8013
2025-07-17,0.8002,0.8063,0.7999,0.8044
2025-07-16,0.8013,0.8061,0.7944,0.8003
2025-07-15,0.7982,0.8024,0.795,0.8015
2025-07-14,0.7963,0.7984,0.7952,0.7976
2025-07-11,0.7969,0.7982,0.7951,0.7964
2025-07-10,0.7943,0.7987,0.7917,0.7969
2025-07-09,0.7956,0.7979,0.7936,0.794
2025-07-08,0.7977,0.7994,0.7951,0.796
2025-07-07,0.794,0.799,0.7933,0.7984
2025-07-04,0.795,0.7955,0.7917,0.7939
2025-07-03,0.7918,0.7986,0.7896,0.7948
2025-07-02,0.7911,0.7941,0.7901,0.7919
2025-07-01,0.793,0.7943,0.7869,0.791
2025-06-30,0.7992,0.7995,0.7927,0.793
2025-06-27,0.7993,0.8018,0.7955,0.7989
2025-06-26,0.8048,0.8054,0.7976,0.8
2025-06-25,0.8052,0.808,0.8037,0.8046
2025-06-24,0.8122,0.8131,0.8033,0.8053
2025-06-23,0.818,0.8195,0.8113,0.8124
2025-06-20,0.8158,0.8184,0.8149,0.8174
2025-06-19,0.818,0.8215,0.8153,0.8165
2025-06-18,0.8164,0.8199,0.815,0.8188
2025-06-17,0.8139,0.8171,0.8117,0.8161
2025-06-16,0.8099,0.8146,0.8085,0.8139
2025-06-13,0.8103,0.8148,0.8055,0.8111
2025-06-12,0.8206,0.821,0.8099,0.8102
2025-06-11,0.8224,0.8234,0.8182,0.8202
2025-06-10,0.8219,0.8241,0.8201,0.8224
2025-06-09,0.8214,0.8225,0.819,0.8215
2025-06-06,0.8195,0.8248,0.8187,0.8215
2025-06-05,0.81781,0.82148,0.81715,0.81869
2025-06-04,0.82321,0.82499,0.81699,0.81779
2025-06-03,0.81688,0.82473,0.8158,0.82324
2025-06-02,0.82232,0.82303,0.81565,0.8169
2025-05-30,0.82174,0.8249,0.81987,0.82176
2025-05-29,0.82653,0.83476,0.821,0.82174
2025-05-28,0.82646,0.82909,0.82447,0.82667
2025-05-27,0.81994,0.82799,0.81874,0.82645
2025-05-26,0.82051,0.8233,0.81911,0.82001
2025-05-23,0.82832,0.82888,0.8204,0.8204
2025-05-22,0.82398,0.83068,0.82333,0.82815
2025-05-21,0.82833,0.82855,0.82091,0.82428
2025-05-20,0.83401,0.8363,0.82733,0.82816
2025-05-19,0.83605,0.8366,0.83182,0.83407
2025-05-16,0.83566,0.8401,0.83264,0.8375
2025-05-15,0.84148,0.84184,0.83459,0.83573
2025-05-14,0.83898,0.84357,0.8324,0.8415
2025-05-13,0.84529,0.84569,0.8382,0.83883
2025-05-12,0.83439,0.84764,0.83304,0.84527
2025-05-09,0.8307,0.8341,0.8269,0.83091
2025-05-08,0.8229,0.83322,0.82233,0.83039
2025-05-07,0.82156,0.8272,0.81852,0.82264
2025-05-06,0.82136,0.82654,0.821,0.8215
2025-05-05,0.82546,0.8275,0.82091,0.8223
2025-05-02,0.82903,0.83183,0.82053,0.82631
2025-05-01,0.82525,0.83332,0.82523,0.82969
2025-04-30,0.82328,0.8273,0.82135,0.82518
2025-04-29,0.81982,0.82642,0.81953,0.82329
2025-04-28,0.8283,0.83186,0.8191,0.8195
2025-04-25,0.82556,0.83348,0.82556,0.82709
2025-04-24,0.82907,0.83021,0.8239,0.82617
2025-04-23,0.82388,0.83112,0.81969,0.82905
2025-04-22,0.80768,0.82389,0.80666,0.82349
2025-04-21,0.8154,0.81718,0.80391,0.80773
2025-04-18,0.81865,0.82032,0.81521,0.81561
2025-04-17,0.81299,0.82313,0.81244,0.8186
2025-04-16,0.82253,0.82286,0.81135,0.81289
2025-04-15,0.8136,0.82393,0.81298,0.82253
